책이름,저자,출판사,출판일,가격,할인가,평점
구의 증명,최진영,은행나무,2023-04-26,12000,10800,9.46
Go Go 카카오프렌즈 33: 필리핀,김미영,아울북,2024-08-14,16800,15120,10
매직 스플릿,박성현,경이로움,2024-08-20,17000,15300,9.29
빨모쌤의 라이브 영어회화(특별 부록 한정판),신용하,웅진지식하우스,2024-07-29,22000,19800,9.88
나는 메트로폴리탄 미술관의 경비원입니다,패트릭 브링리,웅진지식하우스,2023-11-24,17500,15750,9.31
디즈니 픽사 인사이드 아웃 2 무비동화,에린 팰리갠트,애플비북스,2024-06-15,12000,10800,9.88
해커스 토익 기출 VOCA(보카),David Cho,해커스어학연구소,2023-07-24,12900,11610,9.66
그의 운명에 대한 아주 개인적인 생각,유시민,생각의길,2024-06-19,16800,15120,9.72
빨간내복야코 맞춤법 절대 안 틀리는 책 2,빨간내복야코,위즈덤하우스,2024-07-17,14000,12600,9.8
흔한남매 16,흔한남매,미래엔아이세움,2024-04-25,14500,13050,9.83
리틀 라이프 1,한야 야나기하라,시공사,2016-06-16,14800,13320,9.64
쇼펜하우어 인생수업: 한 번뿐인 삶 이렇게 살아라,쇼펜하우어,하이스트,2024-02-20,17500,15750,9.57
사피엔스 그래픽 히스토리 1: 인류의 탄생,유발 하라리 외,김영사,2020-11-23,17800,16020,9.8
손끝과 연연 10,Suu Morishita,학산문화사,2024-08-25,6000,5400,10
나를 소모하지 않는 현명한 태도에 관하여,마티아스 뇔케,퍼스트펭귄,2024-03-10,17800,16020,9.36
내가 한 말을 내가 오해하지 않기로 함,문상훈,위너스북,2024-01-05,19800,17820,9.52
최애의 아이 13,아카사카 아카 외,대원씨아이,2024-07-31,6000,5400,9.65
슈뻘맨의 숨은 과학 찾기 4,슈뻘맨,미래엔아이세움,2024-06-19,15000,13500,10
인간 실격,다자이 오사무,민음사,2012-04-10,9000,8100,9.46
내 몸 혁명,박용우,루미너스,2024-01-10,19500,17550,9.53
석가모니 인생수업: 석가모니가 세상에 남긴 삶의 지혜,석가모니,하이스트,2024-05-24,17500,15750,9.36
불편한 편의점(벚꽃 에디션),김호연,나무옆의자,2021-04-20,14000,12600,9.78
기분이 태도가 되지 말자,김수현(훈글),하이스트,2022-11-25,16000,14400,9.46
우리에게 남은 시간 46일,이설,하이스트,2024-01-29,16800,15120,10
3분만 바라보면 눈이 젊어진다,히라마쓰 루이,쌤앤파커스,2024-07-24,13800,12420,9.56
돈의 속성(300쇄 리커버에디션),김승호,스노우폭스북스,2020-06-15,17800,16020,9.63
당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),김상현,필름(Feelm),2022-04-20,17000,15300,9.69
시한부,백은별,바른북스,2024-01-23,16800,15120,9.7
저속노화 식사법,정희원,테이스트북스,2024-07-26,19000,17100,9.69
처음 읽는 그리스 로마 신화 12: 트로이 전쟁,최설희,미래엔아이세움,2024-07-18,15500,13950,10
3분 철학 2: 서양 중세·근대 철학편,김재훈 외,카시오페아,2021-10-27,16800,15120,9.8
예약판매찌그러져도 동그라미입니다,김창완,웅진지식하우스,2024-03-28,17800,16020,9.71
침묵을 배우는 시간,코르넬리아 토프,서교책방,2024-07-24,18500,16650,9.47
데일 카네기 인간관계론(무삭제 최신 완역본),데일 카네기,더스토리,2024-08-16,11000,9900,9.7
나의 돈키호테,김호연,나무옆의자,2024-04-25,18000,16200,9.7
영어로 문장 만들기 훈련 1차 임계점,유은하,사람in,2024-07-15,22000,19800,10
내 언어의 한계는 내 세계의 한계이다,김종원,마인드셋(Mindset),2024-05-29,18800,16920,9.47
시간 고양이 5: 불타는 아마존의 반격,박미연,이지북,2024-08-01,15000,13500,9.77
물고기는 존재하지 않는다,룰루 밀러,곰출판,2021-12-17,17000,15300,9.43
아이가 없는 집,알렉스 안도릴,필름(Feelm),2024-06-12,18000,16200,8.51
데일 카네기 인간관계론(무삭제 완역본),데일 카네기,현대지성,2019-10-07,11500,10350,9.71
국어 잘하는 아이가 이깁니다,나민애,김영사,2024-03-15,17500,15750,9.91
자본주의,EBS 자본주의 제작팀,가나출판사,2013-09-27,22000,19800,9.74
